2020,Massachusetts,47,8.333333333,50.58,1284.732
2019,Massachusetts,46.2,7.888888889,58.22,1478.788
2018,Massachusetts,46.5,8.055555556,50.73,1288.542
2022,Michigan,41.3,5.166666667,35.17,893.318
2021,Michigan,41.1,5.055555556,32.54,826.516
2020,Michigan,40.7,4.833333333,41.5,1054.1
2019,Michigan,39,3.888888889,37.37,949.198
2018,Michigan,39.8,4.333333333,37.36,948.944
2022,Minnesota,40.1,4.5,23.82,605.028
2021,Minnesota,40.9,4.944444444,24.31,617.474
2020,Minnesota,39,3.888888889,34.03,864.362
2019,Minnesota,37.5,3.055555556,31.35,796.29
2018,Minnesota,39.3,4.055555556,28.3,718.82
2022,Mississippi,63.7,17.61111111,66.27,1683.258
2021,Mississippi,62.6,17,61.31,1557.274
2020,Mississippi,64.5,18.05555556,75.31,1912.874
2019,Mississippi,63.3,17.38888889,64.64,1641.856
2018,Mississippi,63,17.22222222,64.68,1642.872
2022,Missouri,54.3,12.38888889,43.38,1101.852
2021,Missouri,52.8,11.55555556,43.65,1108.71
2020,Missouri,53.7,12.05555556,55.41,1407.414
2019,Missouri,52.3,11.27777778,43.53,1105.662
2018,Missouri,53.1,11.72222222,45.43,1153.922
2022,Montana,42.6,5.888888889,14.34,364.236
2021,Montana,41.6,5.333333333,16.25,412.75
2020,Montana,41.3,5.166666667,21.18,537.972
2019,Montana,40.5,4.722222222,18.85,478.79
2018,Montana,41.8,5.444444444,17.68,449.072
2022,Nebraska,49.7,9.833333333,18.4,467.36
2021,Nebraska,48.1,8.944444444,20.89,530.606
2020,Nebraska,47.1,8.388888889,30.33,770.382
2019,Nebraska,46.3,7.944444444,30.49,774.446
2018,Nebraska,47.7,8.722222222,24.59,624.586
2022,Nevada,52.4,11.33333333,7.87,199.898
2021,Nevada,51.4,10.77777778,6.19,157.226
2020,Nevada,49.9,9.944444444,10.31,261.874
2019,Nevada,50.4,10.22222222,12.1,307.34
2018,Nevada,51.1,10.61111111,8.62,218.948
2022,New Hampshire,42.6,5.888888889,48.76,1238.504
2021,New Hampshire,42.2,5.666666667,39.26,997.204
2020,New Hampshire,41.6,5.333333333,49.35,1253.49
2019,New Hampshire,40.4,4.666666667,51.54,1309.116
2018,New Hampshire,41.9,5.5,50.45,1281.43
2022,New Jersey,52.8,11.55555556,46.57,1182.878
2021,New Jersey,52.4,11.33333333,51.58,1310.132
2020,New Jersey,53.4,11.88888889,48.65,1235.71
2019,New Jersey,51.8,11,62.91,1597.914
2018,New Jersey,51.8,11,48.95,1243.33
2022,New Mexico,51.6,10.88888889,12.12,307.848
2021,New Mexico,51.2,10.66666667,7.27,184.658
2020,New Mexico,50.3,10.16666667,13.72,348.488
2019,New Mexico,50.9,10.5,13.74,348.996
2018,New Mexico,51.9,11.05555556,13.17,334.518
2022,New York,47.7,8.722222222,48.95,1243.33
2021,New York,47.3,8.5,36.69,931.926
2020,New York,47.6,8.666666667,47.82,1214.628
2019,New York,46.5,8.055555556,48.05,1220.47
2018,New York,46.3,7.944444444,47.17,1198.118
2022,North Carolina,55.1,12.83333333,43.93,1115.822
2021,North Carolina,54.8,12.66666667,7.16,181.864
2020,North Carolina,57,13.88888889,53.77,1365.758
2019,North Carolina,55.8,13.22222222,69.43,1763.522
2018,North Carolina,55,12.77777778,50.15,1273.81
2022,North Dakota,41.5,5.277777778,16.08,408.432
2021,North Dakota,41.2,5.111111111,12.67,321.818
2020,North Dakota,40.2,4.555555556,23.24,590.296
2019,North Dakota,37.9,3.277777778,17.74,450.596
2018,North Dakota,39.6,4.222222222,13.61,345.694
2022,Ohio,52.5,11.38888889,44.61,1133.094
2021,Ohio,51.6,10.88888889,37.84,961.136
2020,Ohio,52.5,11.38888889,46.69,1185.926
2019,Ohio,50.9,10.5,51.57,1309.878
2018,Ohio,50.9,10.5,45.93,1166.622
2022,Oklahoma,57.6,14.22222222,32.41,823.214
2021,Oklahoma,56.5,13.61111111,34.84,884.936
2020,Oklahoma,57.1,13.94444444,49.37,1253.998
2019,Oklahoma,56.3,13.5,40.5,1028.7
2018,Oklahoma,57.2,14,38.09,967.486
2022,Oregon,51.9,11.05555556,24.36,618.744
2021,Oregon,52,11.11111111,28.26,717.804
2020,Oregon,52.2,11.22222222,29.19,741.426
2019,Oregon,52.4,11.33333333,27.71,703.834
